Participant #,Gender,Word,Rating,Consonant,Vowel,"""P""","""T""","""K"" "," ""M""","""N""","""L""","""E""","""I""","""O""","""U""",1=3
P5,M,nel,1,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P5,M,tek,3,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P5,M,kop,1,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P5,M,top,2,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P5,M,mum,3,Sonorant,Back,F,F,F,T,F,F,F,F,F,T,T
P5,M,min,2,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P5,M,kut,1,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P6,M,nim,2,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P6,M,lum,1,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P6,M,mul,0,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P6,M,puk,3,Plosive,Back,T,F,T,F,F,F,F,F,F,T,F
P6,M,tik,3,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P6,M,kep,3,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P6,M,tok,0,Plosive,Back,F,T,T,F,F,F,F,F,T,F,F
P6,M,nul,2,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P6,M,len,3,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P6,M,nom,3,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P6,M,lim,2,Sonorant,Front,F,F,F,T,F,T,F,T,F,F,F
P6,M,kot,0,Plosive,Back,F,T,T,F,F,F,F,F,T,F,F
P6,M,kit,2,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P6,M,pup,3,Plosive,Back,T,F,F,F,F,F,F,F,F,T,T
P6,M,pek,3,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P6,M,nil,3,Sonorant,Front,F,F,F,F,T,T,F,T,F,F,F
P7,F,pik,2,Plosive,Front,T,F,T,F,F,F,F,T,F,F,F
P7,F,nom,3,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P7,F,nil,0,Sonorant,Front,F,F,F,F,T,T,F,T,F,F,F
P7,F,tup,1,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P7,F,kuk,3,Plosive,Back,F,F,T,F,F,F,F,F,F,T,T
P7,F,lol,3,Sonorant,Back,F,F,F,F,F,T,F,F,T,F,T
P7,F,lim,2,Sonorant,Front,F,F,F,T,F,T,F,T,F,F,F
P7,F,kop,3,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P7,F,mel,2,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P7,F,tep,0,Plosive,Front,T,T,F,F,F,F,T,F,F,F,F
P7,F,min,3,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P7,F,tik,3,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P7,F,lun,1,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P7,F,pip,3,Plosive,Front,T,F,F,F,F,F,F,T,F,F,T
P7,F,non,2,Sonorant,Back,F,F,F,F,T,F,F,F,T,F,T
P7,F,kok,3,Plosive,Back,F,F,T,F,F,F,F,F,T,F,T
P8,M,lul,1,Sonorant,Back,F,F,F,F,F,T,F,F,F,T,T
P8,M,kit,3,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P8,M,tot,2,Plosive,Back,F,T,F,F,F,F,F,F,T,F,T
P8,M,lum,2,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P8,M,mel,1,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P8,M,mem,2,Sonorant,Front,F,F,F,T,F,F,T,F,F,F,T
P8,M,top,1,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P8,M,kip,3,Plosive,Front,T,F,T,F,F,F,F,T,F,F,F
P8,M,pup,2,Plosive,Back,T,F,F,F,F,F,F,F,F,T,T
P8,M,min,2,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P8,M,mun,1,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P8,M,tet,2,Plosive,Front,F,T,F,F,F,F,T,F,F,F,T
P8,M,lun,2,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P8,M,kut,1,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P8,M,tik,2,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P8,M,mil,1,Sonorant,Front,F,F,F,T,F,T,F,T,F,F,F
P9,M,mum,1,Sonorant,Back,F,F,F,T,F,F,F,F,F,T,T
P9,M,pik,2,Plosive,Front,T,F,T,F,F,F,F,T,F,F,F
P9,M,mun,1,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P9,M,lum,2,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P9,M,pup,1,Plosive,Back,T,F,F,F,F,F,F,F,F,T,T
P9,M,mil,2,Sonorant,Front,F,F,F,T,F,T,F,T,F,F,F
P9,M,tup,1,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P9,M,lem,2,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P9,M,tep,3,Plosive,Front,T,T,F,F,F,F,T,F,F,F,F
P9,M,min,3,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P9,M,nom,2,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P9,M,nel,2,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P9,M,pek,3,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P9,M,kok,2,Plosive,Back,F,F,T,F,F,F,F,F,T,F,T
P9,M,puk,3,Plosive,Back,T,F,T,F,F,F,F,F,F,T,F
P9,M,tip,2,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P10,F,lel,3,Sonorant,Front,F,F,F,F,F,T,T,F,F,F,T
P10,F,nom,1,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P10,F,mon,2,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P10,F,lom,0,Sonorant,Back,F,F,F,T,F,T,F,F,T,F,F
P10,F,nem,3,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P10,F,pit,1,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P10,F,kot,0,Plosive,Back,F,T,T,F,F,F,F,F,T,F,F
P10,F,pop,2,Plosive,Back,T,F,F,F,F,F,F,F,T,F,T
P10,F,mim,3,Sonorant,Front,F,F,F,T,F,F,F,T,F,F,T
P10,F,len,1,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P10,F,lun,2,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P10,F,put,3,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P10,F,kuk,1,Plosive,Back,F,F,T,F,F,F,F,F,F,T,T
P10,F,tit,2,Plosive,Front,F,T,F,F,F,F,F,T,F,F,T
P10,F,kep,2,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P10,F,pek,1,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P11,M,kuk,1,Plosive,Back,F,F,T,F,F,F,F,F,F,T,T
P11,M,pek,1,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P11,M,nim,3,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P11,M,pip,2,Plosive,Front,T,F,F,F,F,F,F,T,F,F,T
P11,M,kep,2,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P11,M,mul,1,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P11,M,kip,3,Plosive,Front,T,F,T,F,F,F,F,T,F,F,F
P11,M,lim,1,Sonorant,Front,F,F,F,T,F,T,F,T,F,F,F
P11,M,mol,2,Sonorant,Back,F,F,F,T,F,T,F,F,T,F,F
P11,M,lel,1,Sonorant,Front,F,F,F,F,F,T,T,F,F,F,T
P11,M,mon,2,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P11,M,tut,2,Plosive,Back,F,T,F,F,F,F,F,F,F,T,T
P11,M,mel,1,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P11,M,top,3,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P11,M,nul,0,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P11,M,kop,1,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P12,F,lil,2,Sonorant,Front,F,F,F,F,F,T,F,T,F,F,T
P12,F,kit,3,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P12,F,pot,1,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P12,F,kut,3,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P12,F,pit,0,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P12,F,kot,2,Plosive,Back,F,T,T,F,F,F,F,F,T,F,F
P12,F,nom,2,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P12,F,kep,3,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
